Group,Coverage,Type,Fraction,Percentage,Adjusted,Raw,Labels
All,350x,Pacbio Validated,0.891272437,89.1%,34609,34609,
All,350x,Non-Validated,0.108727563,10.9%,4222,38831,
All,130x,Pacbio Validated,0.931740523,93.2%,34903,34903,
All,130x,Non-Validated,0.068259477,6.8%,2557,37460,
Mutect2+Strelka,350x,Pacbio Validated,0.802514119,80.3%,4405,4405,
Mutect2+Strelka,350x,Non-Validated,0.197485881,19.7%,1084,5489,
Mutect2+Strelka,130x,Pacbio Validated,0.599271137,59.9%,4111,4111,
Mutect2+Strelka,130x,Non-Validated,0.400728863,40.1%,2749,6860,
Mutect2+RUFUS,350x,Pacbio Validated,0.243243243,24.3%,126,126,
Mutect2+RUFUS,350x,Non-Validated,0.756756757,75.7%,392,518,
Mutect2+RUFUS,130x,Pacbio Validated,0.32183908,32.2%,112,112,
Mutect2+RUFUS,130x,Non-Validated,0.67816092,67.8%,236,348,
RUFUS+Strelka,350x,Pacbio Validated,0.337914309,33.8%,418,418,
RUFUS+Strelka,350x,Non-Validated,0.662085691,66.2%,819,1237,
RUFUS+Strelka,130x,Pacbio Validated,0.762741652,76.3%,434,434,
RUFUS+Strelka,130x,Non-Validated,0.237258348,23.7%,135,569,
Mutect,350x,Pacbio Validated,0.11030082,11.0%,242,242,
Mutect,350x,Non-Validated,0.88969918,89.0%,1952,2194,
Mutect,130x,Pacbio Validated,0.107021997,10.7%,253,253,
Mutect,130x,Non-Validated,0.892978003,89.3%,2111,2364,
RUFUS,350x,Pacbio Validated,0.02064632,2.1%,207,207,
RUFUS,350x,Non-Validated,0.97935368,97.9%,9819,10026,
RUFUS,130x,Pacbio Validated,0.561695447,56.2%,1789,1789,
RUFUS,130x,Non-Validated,0.438304553,43.8%,1396,3185,
Strelka,350x,Pacbio Validated,0.313344945,31.3%,3778,3778,
Strelka,350x,Non-Validated,0.686655055,68.7%,8279,12057,
Strelka,130x,Pacbio Validated,0.295638507,29.6%,3762,3762,
Strelka,130x,Non-Validated,0.704361493,70.4%,8963,12725,
